Продукт,Старая цена,Новая цена,Процент скидки,Время акции
"Жевательная резинка ДИРОЛ Вайт Мята, 13,6г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Жевательная резинка ДИРОЛ Мята-фрукты, 13,6г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Жевательная резинка ДИРОЛ клубника, 13,6г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Леденцы ХОЛЛС Мед-лимон, 25г",52.2,34.8,,С 2023-11-15 по 2023-12-12
"Жевательная резинка ДИРОЛ Морозная мята, 14г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Жевательная резинка ДИРОЛ Колорс фруктовый рандом, 13,6г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Карамель HALLS витамин С и вкус апельсина, 25г",52.2,34.8,,С 2023-11-15 по 2023-12-12
"Пюре ФРУТОНЯНЯ, Цветная капуста, 80г",59.7,39.8,,С 2023-11-15 по 2023-12-12
"Пюре ФРУТОНЯНЯ, Цветная капуста, кукуруза, морковь, 80г",59.7,39.8,,С 2023-11-15 по 2023-12-12
"Набор конфет Новогодний Замок, 1кг",699.99,499.99,-29%,С 2023-12-01 по 2024-01-09
"Конфеты MAMBA жевательные Тропикс, 26,5г",38.7,25.8,,С 2023-11-15 по 2023-12-12
Тостер RED Magnum RT-43,1699.0,999.0,-41%,С 2023-11-13 по 2023-12-31
Кофемолка RED Magnum RCG-161,1299.0,699.0,-46%,С 2023-11-13 по 2023-12-31
"Новогодний подарок MILKA календарь, 240г",749.99,599.99,-20%,С 2023-12-01 по 2024-01-09
"Шоколад KINDER Фигурный молочный, 35г",139.99,119.99,-14%,С 2023-12-01 по 2024-01-09
"Набор подарочный OREO MILKA, 229 г",359.99,229.99,-36%,С 2023-12-01 по 2024-01-09
"Подарочнфый набор конфет NUTS, 335г",499.99,369.99,-26%,С 2023-12-01 по 2024-01-09
"Набор конфет с подарком внутри Стикерсы и Скрепыши, 300г",199.99,149.99,-25%,С 2023-11-01 по 2024-01-09
Рюкзак с конфетами в ассортименте,549.99,449.99,-18%,С 2023-11-01 по 2024-01-09
"Сумка для сменки СКРЕПЫШИ и Стикерсы с конфетами, 315 г",329.99,249.99,-24%,С 2023-11-01 по 2024-01-09
"Набор конфет с подарком внутри «Чебурашка», 150г",199.99,149.99,-25%,С 2023-11-01 по 2024-01-09
"Набор сладостей  ZOMBAKI с подарком внутри, 150 г",299.99,229.99,-23%,С 2023-11-01 по 2024-01-09
"Шоколад Дед Мороз фигурный, 60г",89.99,49.99,-45%,С 2023-12-01 по 2024-01-09
"Набор KINDER MIX, 199г",629.99,469.99,-25%,С 2023-12-01 по 2024-01-09
"Резинка жевательная МЕНТОС, Свежая мята, 16г",43.2,28.8,,С 2023-11-29 по 2023-12-05
САДЫ ПРИДОНЬЯ Пюре яблоко с 4мес 80г ст/бан(СадыПр):12,39.7,29.8,,С 2023-11-15 по 2023-12-12
"Пюре САДЫ ПРИДОНЬЯ брокколи, 80г",38.5,28.9,,С 2023-11-22 по 2023-12-05
Мельница для специй RED Magnum RKA-PM12,999.0,599.0,-40%,С 2023-11-13 по 2023-12-31
Весы кухонные RED Magnum RS-77,999.0,599.0,-40%,С 2023-11-13 по 2023-12-31
"Шоколадная плитка KINDER Новый год,150г",349.99,249.99,-29%,С 2023-12-01 по 2024-01-09
"Шоколад молочный АПРИОРИ, 36г",99.99,59.99,-40%,С 2023-12-01 по 2024-01-09
"Конфеты KONFESTA Ассорти, 234г",249.99,199.99,-20%,С 2023-12-01 по 2024-01-09
"Леденец LENCO Новогодняя карамель Тросточка со вкусом клубники, 20г",44.99,24.99,-45%,С 2023-12-01 по 2024-01-09
"Набор KINDER Mix Choco & Friends Адвент-календарь, 295г",1199.99,999.99,-17%,С 2023-12-01 по 2024-01-09
"Пряники НАСЛАДА имбирные, 340г",109.8,54.9,,С 2023-11-29 по 2023-12-05
"Вино КАХУРИ Мукузани красное сухое (Грузия), 0,75л",599.99,379.99,-37%,С 2023-11-15 по 2023-12-12
"Вино VINAS DEL VERO LUCES белое сухое 0,75л (Испания):6",799.99,579.99,-28%,С 2023-11-15 по 2023-12-12
"Вино ТАМАНСКИЕ ХОЛМЫ белое полусладкое, 0,7л",299.99,249.99,-17%,С 2023-11-15 по 2023-12-12
"Чай AHMAD TEA черный Персик-маракуйя, 25пакетиков",151.99,109.99,-28%,С 2023-11-15 по 2023-12-12
"Чай черный AHMAD Tea Высокогорный, 200г",421.99,299.99,-29%,С 2023-11-15 по 2023-12-12
"Чай AKBAR черный малина-черника-вербена, 25пакетиков",136.99,79.99,-42%,С 2023-11-15 по 2023-12-12
