Продукт,Старая цена,Новая цена,Процент скидки,Время акции
"Средство чистящее DOMESTOS® универсальное, Свежесть Атлантики, 750мл",229.99,129.99,-43%,С 2023-12-06 по 2023-12-12
"Капсулы для стирки ПЕРСИЛ колор, 10шт.",439.99,249.99,-43%,С 2023-12-06 по 2023-12-12
"Шампунь КЛИАР, от перхоти, Против выпадения волос, 400мл",479.99,279.99,-42%,С 2023-12-06 по 2023-12-12
"Семечки ОТ МАРТИНА, отборные, с морской солью, 200г",131.09,99.99,-24%,С 2023-12-06 по 2023-12-12
"Ананасы ЛОРАДО, шайбы, 580мл",239.99,179.99,-25%,С 2023-12-06 по 2023-12-12
"Корм для кошек FELIX® Аппетитные кусочки кролик, 75г",32.99,19.99,-39%,С 2023-12-06 по 2023-12-12
"Шоколад РОССИЯ молочный и белый пористый, 75г",87.79,54.99,-37%,С 2023-12-06 по 2023-12-12
"Печенье ОРИОН ЧОКО БОЙ, 45г",56.59,41.99,-26%,С 2023-12-06 по 2023-12-12
"Чай черный ПРИНЦЕССА НУРИ, 25 пакетиков",67.29,54.99,-18%,С 2023-12-06 по 2023-12-12
"Мука пшеничная MAKFA®, высший сорт, 1кг",64.19,49.99,-22%,С 2023-12-06 по 2023-12-12
"Напиток газированный ЧЕРНОГОЛОВКА Кола, 2л",134.99,114.99,-15%,С 2023-12-06 по 2023-12-12
"Батончики РОТ ФРОНТ, 100г",72.29,34.99,-52%,С 2023-12-06 по 2023-12-12
"Биойогурт АКТИБИО натуральный 3,5%, 130г",48.99,29.99,-39%,С 2023-12-06 по 2023-12-12
"Напиток газированный RICH Битер-Лемон, 1л",126.99,99.99,-21%,С 2023-12-06 по 2023-12-12
"Туалетная бумага PAPIA белая, 3-слойная, 4 рулона",179.99,99.99,-44%,С 2023-12-06 по 2023-12-12
"Масло оливковое БОРГЕС, Экстра Вирджин, 500мл",724.99,549.99,-24%,С 2023-12-06 по 2023-12-12
"Конфеты TOFFIFEE, шоколадные, 125г",212.79,129.99,-39%,С 2023-12-06 по 2023-12-12
"Вино ШАТО ТАМАНЬ Вайн Серфинг Шардоне белое полусладкое, 0,75",399.99,299.99,-25%,С 2023-11-15 по 2023-12-12
"Вино ШАТО ТАМАНЬ Вайн Серфинг Мерло красное полусладкое, 0,75л",399.99,299.99,-25%,С 2023-11-15 по 2023-12-12
"Вино ТАМАНСКИЕ ХОЛМЫ красное полусладкое, 0,7л",299.99,249.99,-17%,С 2023-11-15 по 2023-12-12
"Вино ИРОНСАН Совиньон Блан, белое, сухое, 0,75л",599.99,399.99,-33%,С 2023-11-15 по 2023-12-12
"Варенье МЕДОВЫЙ ДОМ Лесные ягоды, 300г",179.99,114.99,-36%,С 2023-11-15 по 2023-12-12
"Мёд МЕДОВЫЙ ДОМ цветочный разнотравье, 250г",189.99,139.99,-26%,С 2023-11-15 по 2023-12-12
"Оленина СТАНДАРТ тушеная особая (Курганский), 338г",239.99,179.99,-25%,С 2023-11-15 по 2023-12-12
"Мёд натуральный УЛЬЕГРАД Таёжный цветочный, 350г",249.99,179.99,-28%,С 2023-11-15 по 2023-12-12
"Кофе ФРЕСКО ДОППИО, растворимый, сублимированный, 100г",459.99,229.99,-50%,С 2023-11-15 по 2023-12-12
"Нить зубная ORAL-B®, Эсеншиал Флосс, 50м",359.99,299.99,-17%,С 2023-09-20 по 2023-12-31
"Шоколадное яйцо KINDER Макси, 100г",529.99,399.99,-25%,С 2023-12-01 по 2024-01-09
Набор конфет с символом года «Дракончик»,139.99,89.99,-36%,С 2023-11-01 по 2024-01-09
"Новогодний подарок, 500г",299.99,199.99,-33%,С 2023-11-01 по 2024-01-09
"Набор конфет Новогодний сундук, 700 г",449.99,299.99,-33%,С 2023-11-01 по 2024-01-09
"Набор конфет Новогодний Замок, 1кг",699.99,499.99,-29%,С 2023-11-01 по 2024-01-09
Сыр Сапфир БРЕСТ-ЛИТОВСК 4 месячной выдержки,1499.99,959.9,-36%,С 2023-12-01 по 2023-12-31
"Шоколадное яйцо KINDER SURPRISE с игрушкой, 20г",115.99,89.99,-23%,С 2023-12-01 по 2024-01-09
"Конфеты шоколадные KINDER Mix Домик Кормушка для птиц, 99,7г",274.99,219.99,-20%,С 2023-12-01 по 2024-01-09
"Шоколадная фигурка с печеньем, 24г",69.99,49.99,-29%,С 2023-12-01 по 2024-01-09
"Подарочный набор конфет NUTS Nutcracker, 184г",249.99,199.99,-20%,С 2023-12-01 по 2024-01-09
"Подарочный набор NUTS Плеер, 424,6г",629.99,399.99,-37%,С 2023-12-01 по 2024-01-09
"Шоколадный батончик GOODMIX имбирный пряник/вафли, 46г",58.9,39.99,-32%,С 2023-12-01 по 2024-01-09
"Пюре ФРУТОНЯНЯ брокколи-кабачок-цветная капуста, 80г",59.7,39.8,,С 2023-11-15 по 2023-12-12
"Новогодний подарок, 500г",299.99,199.99,-33%,С 2023-12-01 по 2024-01-09
"Кофейный напиток JACOBS Классик, 3в1, растворимый, 12г",19.99,14.99,-25%,С 2023-11-15 по 2023-12-12
GRAN Нектар гранатовый без мякоти 1л(НАР):8,182.99,144.99,-21%,С 2023-04-03 по 2023-12-31
"Губки для посуды МАГНИТ НУЖНЫЕ ВЕЩИ Макси, 5шт.",50.0,33.33,,С 2023-11-15 по 2023-12-12
"Драже МЕЛЛЕР, Ирис с шоколадом, 38г",59.7,39.8,,С 2023-11-15 по 2023-12-12
"Горошек 6 СОТОК Зеленый, 400г",116.7,69.99,-40%,С 2023-12-06 по 2023-12-12
"Сметана ПРОСТОКВАШИНО 15%, 300г",95.6,64.99,-32%,С 2023-12-06 по 2023-12-12
"Жевательная резинка ДИРОЛ Вайт Мята, 13,6г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Жевательная резинка ДИРОЛ Мята-фрукты, 13,6г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Драже МЕЛЛЕР, Ирис с шоколадом, 38г",59.7,39.8,,С 2023-11-15 по 2023-12-12
"Жевательная резинка ДИРОЛ клубника, 13,6г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Леденцы ХОЛЛС Мед-лимон, 25г",52.2,34.8,,С 2023-11-15 по 2023-12-12
"Жевательная резинка ДИРОЛ Морозная мята, 14г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Жевательная резинка ДИРОЛ Колорс фруктовый рандом, 13,6г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Карамель HALLS витамин С и вкус апельсина, 25г",52.2,34.8,,С 2023-11-15 по 2023-12-12
"Пюре ФРУТОНЯНЯ, Цветная капуста, 80г",59.7,39.8,,С 2023-11-15 по 2023-12-12
"Пюре ФРУТОНЯНЯ, Цветная капуста, кукуруза, морковь, 80г",59.7,39.8,,С 2023-11-15 по 2023-12-12
"Набор конфет Новогодний Замок, 1кг",699.99,499.99,-29%,С 2023-12-01 по 2024-01-09
"Конфеты MAMBA жевательные Тропикс, 26,5г",38.7,25.8,,С 2023-11-15 по 2023-12-12
Тостер RED Magnum RT-43,1699.0,999.0,-41%,С 2023-11-13 по 2023-12-31
"Набор конфет Символ года Дракончик, 150г",139.99,89.99,-36%,С 2023-12-01 по 2024-01-09
"Набор конфет СКРЕПЫШИ Стикерсы с подарком внутри, 300г",199.99,149.99,-25%,С 2023-12-01 по 2024-01-09
"Новогодний подарок MILKA календарь, 240г",749.99,599.99,-20%,С 2023-12-01 по 2024-01-09
"Шоколад KINDER Фигурный молочный, 35г",139.99,119.99,-14%,С 2023-12-01 по 2024-01-09
"Набор подарочный OREO MILKA, 229 г",359.99,229.99,-36%,С 2023-12-01 по 2024-01-09
"Подарочнфый набор конфет NUTS, 335г",499.99,369.99,-26%,С 2023-12-01 по 2024-01-09
"Набор конфет с подарком внутри Стикерсы и Скрепыши, 300г",199.99,149.99,-25%,С 2023-11-01 по 2024-01-09
Рюкзак с конфетами в ассортименте,549.99,449.99,-18%,С 2023-11-01 по 2024-01-09
"Сумка для сменки СКРЕПЫШИ и Стикерсы с конфетами, 315 г",329.99,249.99,-24%,С 2023-11-01 по 2024-01-09
"Набор конфет с подарком внутри «Чебурашка», 150г",199.99,149.99,-25%,С 2023-11-01 по 2024-01-09
"Набор сладостей  ZOMBAKI с подарком внутри, 150 г",299.99,229.99,-23%,С 2023-11-01 по 2024-01-09
"Шоколад Дед Мороз фигурный, 60г",89.99,49.99,-45%,С 2023-12-01 по 2024-01-09
"Набор KINDER MIX, 199г",629.99,469.99,-25%,С 2023-12-01 по 2024-01-09
САДЫ ПРИДОНЬЯ Пюре яблоко с 4мес 80г ст/бан(СадыПр):12,39.7,29.8,,С 2023-11-15 по 2023-12-12
Мельница для специй RED Magnum RKA-PM12,999.0,599.0,-40%,С 2023-11-13 по 2023-12-31
Весы кухонные RED Magnum RS-77,999.0,599.0,-40%,С 2023-11-13 по 2023-12-31
"Шоколадная плитка KINDER Новый год,150г",349.99,249.99,-29%,С 2023-12-01 по 2024-01-09
"Шоколад молочный АПРИОРИ, 36г",99.99,59.99,-40%,С 2023-12-01 по 2024-01-09
"Конфеты KONFESTA Ассорти, 234г",249.99,199.99,-20%,С 2023-12-01 по 2024-01-09
"Леденец LENCO Новогодняя карамель Тросточка со вкусом клубники, 20г",44.99,24.99,-45%,С 2023-12-01 по 2024-01-09
"Набор KINDER Mix Choco & Friends Адвент-календарь, 295г",1199.99,999.99,-17%,С 2023-12-01 по 2024-01-09
"Каша молочная ФРУТОНЯНЯ, 5 злаков-персик, 200мл",59.7,39.8,,С 2023-12-06 по 2023-12-19
"Каша жидкая ФРУТОНЯНЯ, Молоко/гречка/яблоко, 200г",59.7,39.8,,С 2023-12-06 по 2023-12-19
"Каша ФРУТОНЯНЯ, Жидкая, молочно-пшеничная, 200г",59.7,39.8,,С 2023-12-06 по 2023-12-19
"Каша жидкая ФРУТОНЯНЯ, молочная, рисовая, малина, 200мл",59.7,39.8,,С 2023-12-06 по 2023-12-19
"Каша жидкая ФРУТОНЯНЯ, Молочно-мультизлаковая, 200г",59.7,39.8,,С 2023-12-06 по 2023-12-19
"Кашка ФРУТОНЯНЯ жидкая йогуртная овсяная яблоко-ягоды, 200мл",59.7,39.8,,С 2023-12-06 по 2023-12-19
"Печенье КОГДА Я ВЫРАСТУ 5 злаков, 35г",29.7,23.8,,С 2023-12-06 по 2023-12-19
"Каша ФРУТОНЯНЯ, Жидкая, молочно-рисовая, 200г",59.7,39.8,,С 2023-12-06 по 2023-12-19
"Каша ФРУТОНЯНЯ молочная овсянка-банан, 200мл",59.7,39.8,,С 2023-12-06 по 2023-12-19
"ДРОЖЖИ Быстродействующие (Турция), 11г",17.7,11.8,,С 2023-12-06 по 2023-12-12
Гриль RED Magnum RGM-M82,5499.0,2999.0,-45%,С 2023-11-13 по 2023-12-31
Блендерный набор RED Magnum RHB-299,2999.0,999.0,-67%,С 2023-11-13 по 2023-12-31
"Конфета KONFESTA с кокосовой начинкой, 150г",149.99,99.99,-33%,С 2023-12-01 по 2024-01-09
"Рюкзак с конфетами, 330г",549.99,449.99,-18%,С 2023-12-01 по 2024-01-09
"Сумка для сменки СКРЕПЫШИ Стикерсы с конфетами, 315г",329.99,249.99,-24%,С 2023-12-01 по 2024-01-09
"Набор конфет с подарком внутри Чебурашка, 150г",199.99,149.99,-25%,С 2023-12-01 по 2024-01-09
"Набор сладостей ZOMBAKI с подарком внутри, 150г",299.99,229.99,-23%,С 2023-12-01 по 2024-01-09
"Конфеты BOUNTY Minis Mix, 220г",429.99,299.99,-30%,С 2023-12-01 по 2024-01-09
"Вино КАХУРИ Мукузани красное сухое (Грузия), 0,75л",599.99,379.99,-37%,С 2023-11-15 по 2023-12-12
"Вино VINAS DEL VERO LUCES белое сухое 0,75л (Испания):6",799.99,579.99,-28%,С 2023-11-15 по 2023-12-12
"Вино ТАМАНСКИЕ ХОЛМЫ белое полусладкое, 0,7л",299.99,249.99,-17%,С 2023-11-15 по 2023-12-12
"Чай AHMAD TEA черный Персик-маракуйя, 25пакетиков",151.99,109.99,-28%,С 2023-11-15 по 2023-12-12
"Чай черный AHMAD Tea Высокогорный, 200г",421.99,299.99,-29%,С 2023-11-15 по 2023-12-12
"Чай AKBAR черный малина-черника-вербена, 25пакетиков",136.99,79.99,-42%,С 2023-11-15 по 2023-12-12
"Чай AKBAR черный яблоко-шиповник-шалфей, 25пакетиков",136.99,79.99,-42%,С 2023-11-15 по 2023-12-12
"Лакомство для собак ТИТБИТ Классик гематоген мясной, 35г",49.99,42.99,-14%,С 2023-11-15 по 2023-12-12
"Чай черный ПРИНЦЕССА НУРИ, 100г",88.99,69.99,-21%,С 2023-11-15 по 2023-12-12
"Мёд МЕДОВЫЙ ДОМ цветочный восточная липа, 250г",209.99,139.99,-33%,С 2023-11-15 по 2023-12-12
"Икра кабачковая КУХМАСТЕР, 400г",89.99,64.99,-28%,С 2023-11-15 по 2023-12-12
"Варенье МЕДОВЫЙ ДОМ Абрикосовое, 300г",179.99,109.99,-39%,С 2023-11-15 по 2023-12-12
"Чай BETA TEA черный, цветущий апельсин, 90г",169.99,109.99,-35%,С 2023-11-15 по 2023-12-12
"Набор конфет Новогодний Сундук, 700г",449.99,299.99,-33%,С 2023-12-01 по 2024-01-09
"Новогодний подарок АЛЕНКА Фонарик, 350г",589.99,349.99,-41%,С 2023-12-01 по 2024-01-09
"Новогодний подарок БАРНИ Picnic/Oreo ассорти бисквитов, 370г",599.99,389.99,-35%,С 2023-12-01 по 2024-01-09
"Новогодний набор MILKA печенье/вафли, 142г",364.99,219.99,-40%,С 2023-12-01 по 2024-01-09
"Пряники НАСЛАДА имбирные, 340г",109.8,54.9,,С 2023-12-06 по 2023-12-12
"Пюре HEINZ яблоко-клубника-красная смородина c 6 месяцев, 90г",79.8,39.9,,С 2023-12-06 по 2023-12-12
"Пюре HEINZ яблоко-абрикос-облепиха c 6 месяцев, 90г",79.8,39.9,,С 2023-12-06 по 2023-12-12
"Пюре HEINZ яблоко-клубника-черника c 6 месяцев, 90г",79.8,39.9,,С 2023-12-06 по 2023-12-12
"Пюре HEINZ, Фруктовый салат-Злаки, 90г",79.8,39.9,,С 2023-12-06 по 2023-12-12
"Пюре HEINZ, Яблоко-клубника-злаки, 90г",79.8,39.9,,С 2023-12-06 по 2023-12-12
"Блинчики С ПЫЛУ С ЖАРУ, с творогом, 360г",189.8,94.9,,С 2023-12-06 по 2023-12-12
"НАГГЕТСЫ КУРИНЫЕ с сыром (Мираторг), 300г",239.8,119.9,,С 2023-12-06 по 2023-12-12
